departamento,codigodanedepartamento,municipio,codigodanemunicipio,ano,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje,areaspeligrosas,areaspeligrosasconfirmadas
BOLIVAR,13,ZAMBRANO,13894,2016,11,Comunidades,0,0,0,0,0,BDIAN,0,0,0,1,1
CAQUETA,18,EL PAUJIL,18256,2021,6,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
PUTUMAYO,86,PUERTO GUZMÁN,86571,2022,7,Comunidades,4863,1,0,0,1,CCCM,2,0,1,0,0
CAQUETA,18,SAN JOSÉ DEL FRAGUA,18610,2019,7,Comunidades,0,0,0,0,0,DRC,4,0,0,0,0
PUTUMAYO,86,PUERTO ASÍS,86568,2019,4,Comunidades,0,2,5,1,8,CCCM,3,0,0,0,0
CALDAS,17,SAMANÁ,17662,2017,3,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,2
META,50,LEJANÍAS,50400,2019,5,Comunidades,18249,13,0,0,13,HALO,1,0,2,0,0
RISARALDA,66,BELÉN DE UMBRÍA,66088,2019,4,Comunidades,0,0,0,0,0,BRDEH,12,0,0,0,0
VALLE DEL CAUCA,76,PALMIRA,76520,2018,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,0
NARIÑO,52,PUERRES,52573,2020,8,Comunidades,2410,0,0,0,0,HALO,0,0,2,0,0
ANTIOQUIA,5,ARGELIA,5055,2018,7,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,2013,6,Comunidades,10439,0,0,0,0,BRDEH,2,1,0,0,0
ANTIOQUIA,5,ABEJORRAL,5002,2019,5,Comunidades,1385,3,0,0,3,HALO,0,0,1,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2013,2,Comunidades,127,0,0,0,0,BRDEH,0,1,0,0,0
PUTUMAYO,86,ORITO,86320,2019,2,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
ANTIOQUIA,5,SONSÓN,5756,2015,2,Comunidades,0,0,0,0,0,HALO,2,0,0,0,0
TOLIMA,73,CHAPARRAL,73168,2018,6,Comunidades,16808,0,0,1,1,BRDEH,0,2,1,0,0
CAQUETA,18,MONTAÑITA,18410,2021,4,Comunidades,0,0,0,0,0,HUMANICEMOS,3,0,0,0,0
ANTIOQUIA,5,YONDÓ,5893,2022,6,Comunidades,0,0,0,0,0,HALO,7,0,0,0,0
SANTANDER,68,SAN VICENTE DE CHUCURÍ,68689,2013,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
SANTANDER,68,SAN VICENTE DE CHUCURÍ,68689,2014,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,3,1
CUNDINAMARCA,25,MACHETÁ,25426,2018,2,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
ANTIOQUIA,5,CAREPA,5147,2023,4,Comunidades,0,0,0,0,0,HI,1,0,0,0,0
META,50,PUERTO LLERAS,50577,2018,3,Comunidades,0,0,0,0,0,APN,1,0,0,0,0
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,2020,4,Comunidades,3220,1,0,0,1,BDIAN,2,0,1,0,0
CAQUETA,18,CURILLO,18205,2022,1,Comunidades,0,0,0,1,1,DRC,1,0,0,0,0
CAQUETA,18,MONTAÑITA,18410,2020,10,Comunidades,0,0,0,0,0,HUMANICEMOS,0,0,0,0,1
PUTUMAYO,86,VILLAGARZÓN,86885,2017,8,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
HUILA,41,ALGECIRAS,41020,2017,11,Comunidades,0,0,0,0,0,CCCM,0,0,0,0,7
SANTANDER,68,EL CARMEN,68235,2017,2,Comunidades,3953,0,0,0,0,BRDEH,0,1,0,0,0
META,50,VISTAHERMOSA,50711,2018,10,Comunidades,4191,0,0,0,0,CCCM,0,0,2,0,0
SANTANDER,68,MACARAVITA,68425,2018,5,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
TOLIMA,73,PLANADAS,73555,2018,8,Comunidades,13037,1,3,4,8,BRDEH,0,0,2,0,0
ANTIOQUIA,5,SONSÓN,5756,2021,10,Comunidades,16328,19,0,0,19,HALO,1,0,1,0,0
CALDAS,17,MANZANARES,17433,2022,2,Comunidades,4412,0,0,0,0,BRDEH,0,0,1,0,0
TOLIMA,73,CHAPARRAL,73168,2017,12,Comunidades,6955,0,0,0,0,HALO,9,0,1,0,0
CALDAS,17,SAMANÁ,17662,2014,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0,5,0
ANTIOQUIA,5,COCORNÁ,5197,2015,2,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
SUCRE,70,CHALÁN,70230,2019,11,Comunidades,0,0,0,0,0,BDIAN,3,0,0,0,0
NARIÑO,52,IPIALES,52356,2018,7,Comunidades,0,0,0,0,0,HALO,0,0,0,2,4
TOLIMA,73,PLANADAS,73555,2022,2,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,0
CHOCO,27,EL CARMEN DEL ATRATO,27245,2009,3,Bases Militares,9977.25,0,1,0,1,BRDEH,0,0,1,0,0
CAQUETA,18,MONTAÑITA,18410,2017,6,Comunidades,3040,0,0,0,0,BRDEH,0,1,0,0,0
ANTIOQUIA,5,TURBO,5837,2022,11,Comunidades,0,0,0,0,0,CCCM,9,0,0,0,0
LA GUAJIRA,44,ALBANIA,44035,2017,9,Comunidades,0,0,0,0,0,BRDEH,5,0,0,0,0
TOLIMA,73,CAJAMARCA,73124,2020,8,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
CAQUETA,18,SAN JOSÉ DEL FRAGUA,18610,2019,2,Comunidades,0,0,0,0,0,DRC,3,0,0,0,0
TOLIMA,73,CHAPARRAL,73168,2017,7,Comunidades,2403,1,10,0,11,BRDEH,13,2,0,0,0
BOLIVAR,13,ZAMBRANO,13894,2011,11,Comunidades,525,0,0,0,0,BRDEH,12,1,0,0,0
CALDAS,17,SAMANÁ,17662,2014,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,5
SANTANDER,68,EL PEÑÓN,68250,2019,3,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
ANTIOQUIA,5,GRANADA,5313,2011,4,Comunidades,2047,1,1,0,2,BRDEH,1,1,1,0,0
HUILA,41,ALGECIRAS,41020,2019,11,Comunidades,457,0,0,0,0,CCCM,1,0,1,0,0
TOLIMA,73,CHAPARRAL,73168,2022,5,Comunidades,7892,0,0,0,0,BRDEH,0,0,1,0,0
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,2007,6,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
CAQUETA,18,MONTAÑITA,18410,2020,12,Comunidades,0,0,1,0,1,HUMANICEMOS,2,0,0,0,0
PUTUMAYO,86,PUERTO GUZMÁN,86571,2019,9,Comunidades,0,0,0,0,0,CCCM,0,0,0,1,1
META,50,EL CASTILLO,50251,2020,3,Comunidades,0,5,2,6,13,HALO,2,0,0,0,0
SANTANDER,68,SABANA DE TORRES,68655,2015,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0,2,0
TOLIMA,73,PLANADAS,73555,2018,8,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,1
BOLIVAR,13,ZAMBRANO,13894,2023,1,Comunidades,0,1,0,1,2,BDIAN,1,0,0,0,0
ANTIOQUIA,5,NARIÑO,5483,2015,9,Comunidades,0,0,0,0,0,HALO,5,0,0,0,0
VALLE DEL CAUCA,76,PRADERA,76563,2023,3,Comunidades,0,0,1,0,1,HALO,1,0,0,0,0
HUILA,41,NEIVA,41001,2018,10,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
NARIÑO,52,IPIALES,52356,2018,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,1
ANTIOQUIA,5,BRICEÑO,5107,2015,11,Comunidades,14713,32,0,0,32,BRDEH,0,0,4,0,0
ANTIOQUIA,5,SANTO DOMINGO,5690,2017,12,Comunidades,0,0,0,0,0,BRDEH,2,0,0,0,0
TOLIMA,73,RIOBLANCO,73616,2018,8,Comunidades,0,0,0,0,0,HALO,4,0,0,0,0
CALDAS,17,MARULANDA,17446,2019,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,0,1
